id,label,unit,definition,definitionSource,ACLTag
productivity_start,Productivity at start,,Productivity at first year.,,
protected_forest_surface,Protected forest surface,Gha,Surface of protected forests,,
red_meat_percentage,Red meat calory percentage,%,Percentage of the red meat calories quantity by person and by year.,,
red_meat_percentage_ctrl,Red meat calory percentage Ctrl,%,Ctrl points of the Percentage of the red meat calories quantity by person and by year.,,
red_to_white_meat,Red to white meat percentage,%,"Give the percentage of red meat removed, based on the starting diet value. The kcal removed will be filled by adding white meat.",,
red_to_white_meat_ctrl,Red to white meat ctrl,%,Ctrl data concerning to_white.,,
ref_pc_consumption_constraint,Ref pc consumption constraint,k$,Constraint data concerning pc.,,
reforestation_cost_per_ha,Reforestation cost,$/ha,"Average cost to plant 1 ha of tree. That includes plantintg, ground preparation, fertilizer and other actions.",,
forest_lost_capital,Forest lost capital,G$,Lost capital relative to forest activities,,
forest_lost_capital_cons,Reforestation lost capital constraint,,Constraint on reforestation capital. Used for optimisation.,,
forest_lost_capital_cons_limit,Reforestation lost capital constraint limit,G$,Constraint limit on reforestation capital. Used for optimisation.,,
forest_lost_capital_cons_ref,Reforestation lost capital constraint reference,G$,Constraint reference on reforestation capital. Used for optimisation.,,
red_meat_calories_per_day,Red meat calory per day,kcal,number of calories coming from red meat consumed per day per person.,,
renewable_CleanEnergySimpleTechno_array_mix,Renewable CleanEnergySimpleTechno array mix,%,Mix data concerning CleanEnergySimpleTechno.,,
residential_energy, Residential energy per capita,MWh,Residential energy consumption per capita reference (2019),,
residential_energy_conso_ref, Residential energy per capita reference (2019),MWh,Residential energy consumption per capita reference (2019),,
resource_list,Resource List,,"Coal, gas, oil, uranium.",,
resource_price,Resource price,$/tonnes,Data concerning CO2 resource.,,
resource_stock,Resource stock,Mt,Data concerning CO2 resource.,,
rockstrom_constraint_ref,Rockstrom constraint ref,,Reference for the Rockstrom constraint. Used for optimisation.,,
rockstrom_limit_constraint,Rockstrom limit constraint,,Rockstrom constraint limite value.,,
saving_rate,Saving rate ,%,Saving rate. Share of the output which is invested and not consumed.,,
scale_factor_atmo_conc,Scale factor atmo conc,,Conc data concerning factor.,,
scaleone,Scale One,,Data concerning CO2 scaleone.,,
scaletwo,Scale Two,,Data concerning CO2 scaletwo.,,
scaling_factor_energy_investment,Scaling factor energy investment,,Investment data concerning factor.,,
scaling_factor_energy_production,Scaling factor energy production,,Production data concerning factor.,,
share_energy_investment,Share of investment in energy,%,Share of the investment that is invested in energy,,
share_know_birthrate,Share know birthrate,,Parameter to compute birth rate.,,
solid_fuel_CoalExtraction_array_mix,Solid fuel CoalExtraction array mix,%,Mix data concerning fuel_CoalExtraction.,,
solid_fuel_Pelletizing_array_mix,Solid fuel Pelletizing array mix,%,Mix data concerning fuel_Pelletizing.,,
syngas_BiomassGasification_array_mix,Syngas BiomassGasification array mix,%,Mix data concerning BiomassGasification.,,
syngas_CoalGasification_array_mix,Syngas CoalGasification array mix,%,Mix data concerning CoalGasification.,,
syngas_SMR_array_mix,Syngas SMR array mix,%,Mix data concerning SMR.,,
temperature_change_ref,Temperature change ref,deg celcius,Reference for temperatur change. Used for optimisation.,,
temperature_detail_df,Temperature detail df,,Detailed data of temperature outputs.,,
temperature_df,Temperature data,,Output of temperature model. Data about evolution of global temperature,,ACBGAA - temperature
temperature_obj_option,Temperature objective option,,Ooption on temperature objective computation.,,
temperature_objective,Temperature objective,,"Value of the temperature objective. Smaller the value is, better the objective is accomplished.",,
theta,Theta,,Parameter used in death rate computation.,,
time_step,Time step,year,Time step in years per period.,,AAAFAA - duration
tipping_point,Tipping point damage function,,"If True ""tipping point"" damage function is used instead of standard DICE.",,
