variable,value,lower_bnd,upper_bnd,enable_variable,activated_elem
electricity.BiomassFired.electricity_BiomassFired_array_mix,"[70.01822726577939, 54.529299007083026, 39.31593056894398, 38.44463967035194, 2.423066446634825, 3.4105170826434086, 2.655223479290449, 12.214675555528121]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
electricity.CoalGen.electricity_CoalGen_array_mix,"[67.58092317650102, 62.02171585032439, 43.56059009655475, 52.07106396860074, 61.11313336860881, 55.32176964080033, 47.97852431341532, 51.64178868258009]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
electricity.OilGen.electricity_OilGen_array_mix,"[61.87563829105607, 56.56992024008964, 40.12958825716619, 46.30489572930916, 20.251351687729937, 9.368439187205775, 5.046421064727701, 11.898027573758103]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
fuel.biodiesel.Transesterification.fuel_biodiesel_Transesterification_array_mix,"[8.048066567378351, 1e-06, 3.23131836796386, 7.130731181701519, 0.08201406492012599, 2.759453740242555, 2.680533751094854, 35.38363051088449]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
hydrogen.liquid_hydrogen.HydrogenLiquefaction.hydrogen_liquid_hydrogen_HydrogenLiquefaction_array_mix,"[272.60322690052317, 101.11461124217934, 53.88126500425642, 42.14910983665568, 0.2860732369234116, 0.4229841273612259, 0.2265336125533627, 9.53398484619864]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_capture.direct_air_capture.AmineScrubbing.carbon_capture_direct_air_capture_AmineScrubbing_array_mix,"[139.82135063123013, 64.4740511421994, 42.551739068431104, 0.45663126472936244, 4.731963253584282, 4.357868530831491, 2.7316377671495724, 12.22767969513814]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_capture.direct_air_capture.CalciumPotassiumScrubbing.carbon_capture_direct_air_capture_CalciumPotassiumScrubbing_array_mix,"[2.6138572933308715, 60.7601240990392, 40.88734848699872, 39.06563849466754, 44.12149384200339, 4.54625257468244, 2.711205904554535, 11.85525930571041]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_capture.flue_gas_capture.CalciumLooping.carbon_capture_flue_gas_capture_CalciumLooping_array_mix,"[184.6049198736637, 94.85147549996249, 60.972964797106165, 55.93305629094463, 55.04421925492856, 53.00857913193146, 49.64206989003302, 32.1182943449808]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_capture.flue_gas_capture.ChilledAmmoniaProcess.carbon_capture_flue_gas_capture_ChilledAmmoniaProcess_array_mix,"[132.17884341025885, 87.22935959970202, 60.729458680349566, 55.63785910567908, 20.2795297556883, 13.497542291566978, 10.205481627739669, 17.53164240688241]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_capture.flue_gas_capture.CO2Membranes.carbon_capture_flue_gas_capture_CO2Membranes_array_mix,"[48.62632709599286, 81.55174592762631, 62.13318185698337, 57.38342772204428, 50.27206775420003, 53.53848909630916, 49.05598695525594, 27.725959195015744]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_capture.flue_gas_capture.MonoEthanolAmine.carbon_capture_flue_gas_capture_MonoEthanolAmine_array_mix,"[42.64765450629227, 80.46557042136918, 61.89301329122928, 57.05676613325659, 16.69199499726616, 14.363186940552124, 11.161213843859723, 18.777182682729723]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_capture.flue_gas_capture.PiperazineProcess.carbon_capture_flue_gas_capture_PiperazineProcess_array_mix,"[155.506820929452, 91.84902224352525, 62.581423412348485, 57.726981461628284, 22.945841222582768, 15.843834931617524, 12.325904508424836, 19.275813495388817]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_capture.flue_gas_capture.PressureSwingAdsorption.carbon_capture_flue_gas_capture_PressureSwingAdsorption_array_mix,"[116.47053916052916, 85.84899780928193, 62.318647126535126, 57.574495632638026, 56.45769698137545, 54.03266763959089, 50.67658136379352, 29.955958414152686]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_storage.BiomassBuryingFossilization.carbon_storage_BiomassBuryingFossilization_array_mix,"[23.8515100953984, 91.27283425883923, 82.2881688185994, 52.55263092234808, 58.33845417720326, 20.60876153878768, 13.953088862518772, 18.79144995071249]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
