variable,value,lower_bnd,upper_bnd,enable_variable,activated_elem
fuel.biodiesel.Transesterification.fuel_biodiesel_Transesterification_array_mix,"[1e-06, 1e-06, 44.97917672563802, 1e-06, 0.3758557671398371, 2.066524576633183, 0.13201638308746735, 24.341937986502607]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
hydrogen.liquid_hydrogen.HydrogenLiquefaction.hydrogen_liquid_hydrogen_HydrogenLiquefaction_array_mix,"[226.80314260771624, 80.86407040241677, 37.820725348012566, 34.83167429712568, 51.536482396286154, 54.084011298821245, 62.311925034451455, 55.71674612827683]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_capture.direct_air_capture.AmineScrubbing.carbon_capture_direct_air_capture_AmineScrubbing_array_mix,"[5.549539561891467, 1e-06, 25.898320712068383, 15.417119448864112, 32.723632804198544, 25.37858527650703, 49.94511742858777, 20.422441217921413]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_capture.direct_air_capture.CalciumPotassiumScrubbing.carbon_capture_direct_air_capture_CalciumPotassiumScrubbing_array_mix,"[0.5830772826527043, 6.905589393731175, 36.04771439113307, 49.657939212083456, 64.8145445579971, 56.11088881129444, 54.21660234799599, 19.945624131502488]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_capture.flue_gas_capture.CalciumLooping.carbon_capture_flue_gas_capture_CalciumLooping_array_mix,"[116.95517063427273, 60.94993521441576, 59.26016357706569, 53.56105668701998, 66.74033900903075, 65.55659265184113, 59.95373122140175, 30.76372722828259]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_capture.flue_gas_capture.ChilledAmmoniaProcess.carbon_capture_flue_gas_capture_ChilledAmmoniaProcess_array_mix,"[105.34869571332995, 55.551227505133646, 56.220350502276595, 52.72934222390815, 66.37452713460877, 65.076228640846, 57.62427505929655, 27.514968142108756]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_capture.flue_gas_capture.CO2Membranes.carbon_capture_flue_gas_capture_CO2Membranes_array_mix,"[20.038801377214398, 28.153378649106063, 43.019952419028535, 50.27146358685647, 36.068021502653664, 35.602036030123436, 30.578429431879417, 25.130288298934985]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_capture.flue_gas_capture.MonoEthanolAmine.carbon_capture_flue_gas_capture_MonoEthanolAmine_array_mix,"[60.09843415071936, 37.46178844801698, 44.249566602418064, 51.27797417532827, 35.42572466085201, 33.07474150825545, 29.70688374412766, 36.300126678221446]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_capture.flue_gas_capture.PiperazineProcess.carbon_capture_flue_gas_capture_PiperazineProcess_array_mix,"[125.14325959132277, 67.60752792406701, 63.6520883564098, 56.40058513296292, 68.78105273964294, 67.15571162725892, 61.601878625467, 38.62678901591982]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_capture.flue_gas_capture.PressureSwingAdsorption.carbon_capture_flue_gas_capture_PressureSwingAdsorption_array_mix,"[72.69139162398905, 38.056414931691805, 48.16495569513343, 51.73266825111566, 36.562587670996486, 36.093150084432004, 30.590942683228477, 24.993149794303946]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_storage.BiomassBuryingFossilization.carbon_storage_BiomassBuryingFossilization_array_mix,"[251.33017261205524, 31.90145443276653, 16.21736312432089, 33.566739974483156, 12.89394122035163, 6.570537879930299, 7.653916910329934, 14.650274746347177]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_storage.DeepOceanInjection.carbon_storage_DeepOceanInjection_array_mix,"[27.36474857098396, 52.20494422662958, 59.75996542427309, 53.79882793356431, 51.73000609830798, 21.260159481980462, 23.538740538708886, 20.415132471237275]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_storage.DeepSalineFormation.carbon_storage_DeepSalineFormation_array_mix,"[27.897892346026808, 53.249743554039874, 61.000775506257995, 54.00463166543121, 55.61420901213793, 20.48315973508162, 22.664897901435975, 19.50980129261432]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_storage.DepletedOilGas.carbon_storage_DepletedOilGas_array_mix,"[27.897892346026808, 53.249743554039874, 61.000775506257995, 54.00463166543121, 55.61420901213793, 20.48315973508162, 22.664897901435975, 19.50980129261432]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_storage.EnhancedOilRecovery.carbon_storage_EnhancedOilRecovery_array_mix,"[5.252239168936273, 8.289797946463398, 16.10725429159907, 10.142431088452255, 39.61902490313707, 17.68949613262232, 20.92271102895553, 18.5824659076329]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_storage.GeologicMineralization.carbon_storage_GeologicMineralization_array_mix,"[2.2295179509672223, 6.909070966909503, 11.804608770548313, 12.436114212464284, 26.4240214588816, 17.429938081976726, 21.02639056716211, 18.948716475269773]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_storage.PureCarbonSolidStorage.carbon_storage_PureCarbonSolidStorage_array_mix,"[1e-06, 1e-06, 4.667030646388087, 5.419893065864246, 18.9996246764376, 17.54487354550339, 21.551632942240794, 19.66842067470504]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
deforested_surface_ctrl,"[14.318594890234055, 16.139739180745057, 17.72118517877592, 14.657114238841809, 9.546577511137661, 6.381640170317373, 5.47018001087346, 4.876693629793507]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",True,"[True, True, True, True, True, True, True, True]"
forest_investment_array_mix,"[10.639404859039153, 2.5427704975354684, 0.4685853543626576, 10.799094185519657, 18.101255103935856, 42.37370321093316, 84.22231493952164, 49.50475990493334]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
red_meat_percentage_ctrl,"[6.7501958880498805, 6.672479041801968, 6.021656380961167, 5.08117768799451, 6.135199449691601, 6.5883980793735955, 6.830902012268199, 6.830820434453768]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",True,"[True, True, True, True, True, True, True, True]"
white_meat_percentage_ctrl,"[13.855334433012361, 13.845666247197636, 13.76470199510599, 13.647703680998788, 13.778827063148594, 13.980290457080114, 13.983278357770264, 13.95927312451194]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",True,"[True, True, True, True, True, True, True, True]"
share_energy_investment_ctrl,"[1.6341789406113412, 1.6374695997449868, 1.62401650807457, 1.660870699934967, 1.6422813296731056, 1.6250525559418678, 1.616230342793581, 1.6204546222619403]","[1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",True,"[True, True, True, True, True, True, True, True]"
