years,oil_resource,uranium_resource,natural_gas_resource,coal_resource,copper_resource,water_resource,sea_water_resource,CO2_resource,biomass_dry_resource,wet_biomass_resource,natural_oil_resource,methanol_resource,sodium_hydroxide_resource,wood_resource,carbon_resource,managed_wood_resource,oxygen_resource,dioxygen_resource,crude_oil_resource,solid_fuel_resource,calcium_resource,calcium_oxyde_resource,potassium_resource,potassium_hydroxide_resource,amine_resource,ethanol_amine_resource,mono_ethanol_amine_resource,glycerol_resource
2068,446.40088965487627,70284.32705770798,1481.7389295182318,15.3314265,49999.548907729266,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2069,444.90626704108195,77622.17790904568,1480.5516900050793,15.3314265,49999.55304846183,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2070,443.41652626966567,79187.87354668902,1479.0089429387708,15.3314265,49999.55728335373,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2071,441.8979338707183,80605.19928140877,1477.3374511005784,15.3314265,49999.561738413104,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2072,440.31276292071726,82274.564947706,1475.796590463832,15.3314265,49999.56776025007,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2073,438.62562141512103,83834.55919797492,1474.665372450994,15.3314265,49999.56887918045,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2074,436.8123431772178,85292.50889736757,1474.2325389840692,15.3314265,49999.57035002484,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2075,434.86753679453864,86441.35347062146,1474.7844007925717,15.3314265,49999.57532023393,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2076,432.7939390977534,87567.5956403895,1476.587551806287,15.3314265,49999.57915552128,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2077,430.6000259645112,88946.01410966035,1479.8677206846994,15.3314265,49999.58316711972,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2078,428.30203485055745,90039.81850754393,1484.7872837079815,15.3314265,49999.585172630635,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2079,425.92626945911235,91213.3178874976,1491.4283893956722,15.3314265,49999.58895858167,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2080,423.5114952828841,92360.7211122987,1499.7922797175215,15.3314265,49999.590482782376,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2081,421.1110608538035,93446.67593744633,1509.7966798934947,15.3314265,49997.42812842016,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2082,418.79416514491527,94444.06702104634,1521.278356477679,15.3314265,49999.592135550454,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2083,416.64548717587587,95374.05940002935,1534.0041762037517,15.3314265,49999.5916748396,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2084,414.7623017924126,96248.40505460613,1547.6891415964026,15.3314265,49999.59032867616,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2085,413.2483728419943,97038.97912792474,1562.0185651646566,15.3314265,49999.58798590313,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2086,412.2044788811612,97601.34407653447,1576.6709561903695,15.3314265,49999.58451303921,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2087,411.7164035472955,98153.52228702548,1591.3384407419753,15.3314265,49999.579779971275,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2088,411.8418169431008,98691.3356792643,1605.7506423168368,15.3314265,49999.57375412602,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2089,412.5976794273863,99211.37548382315,1619.7121024819453,15.3314265,49999.56641459554,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2090,413.954726109645,99710.97967715023,1633.0998934027004,15.3314265,49999.55772625394,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2091,415.84197337307955,100188.18951383866,1645.8496336860694,15.3314265,49999.54764530526,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2092,418.1631488741824,100641.69713999977,1657.9419723956269,15.3314265,49999.53612024743,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2093,420.8102028487446,101070.76979799122,1669.3906028763693,15.3314265,49999.52309476635,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2094,423.674513357326,101475.16620742445,1680.2321730125636,15.3314265,49999.508509426676,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2095,426.6557980413138,101855.0538120959,1690.5197878680665,15.3314265,49999.49230568272,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2096,429.66790081520503,102210.9304207417,1700.3220955694887,15.3314265,49999.47443214463,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2097,432.6414992145826,102543.55258193717,1709.7161443463763,15.3314265,49999.45485319868,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2098,435.5243369535305,102853.87202305773,1718.7794945722803,15.3314265,49999.4335607424,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2099,438.2797959635857,103142.9806783895,1727.583352227712,15.3314265,49999.41058987798,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
2100,440.8845765908223,103412.06423000382,1736.186509030547,15.3314265,49999.386039387806,1.78,1.4313,200.0,68.12,56.0,1100.0,400.0,425.0,120.0,25000.0,37.5,10.0,10.0,44.0,250.0,85.0,150.0,500.0,500.0,1300.0,1700.0,1700.0,0.0
